project_id,final_cost,actual_completion_date,final_overrun_ratio,final_delay_days,cost_overrun_label,delay_label
P0518,579.3,2027-04-17,0.1186,47,1,1
P0519,3753.46,2027-05-30,0.0373,29,0,0
P0520,2253.7,2026-10-01,-0.0157,0,0,0
P0521,3555.15,2027-04-09,0.0777,39,0,1
P0522,3861.4,2027-04-01,0.0781,0,0,0
P0523,956.97,2026-10-03,0.127,63,1,1
P0524,3522.99,2026-02-19,0.2048,18,1,0
P0525,3018.4,2027-06-09,0.3277,69,1,1
P0526,5336.85,2027-07-07,0.1323,156,1,1
P0527,3903.25,2027-10-22,0.0618,21,0,0
P0528,4069.0,2027-08-19,0.2571,171,1,1
P0529,2824.65,2026-01-01,0.0399,0,0,0
P0530,6113.37,2028-01-09,0.4355,130,1,1
P0531,1805.36,2027-02-04,0.1978,65,1,1
P0532,2768.87,2027-10-01,0.1561,92,1,1
P0533,3049.04,2026-06-12,0.282,42,1,1
P0534,4287.47,2026-07-29,0.0518,28,0,0
P0535,5919.46,2027-06-18,0.3247,199,1,1
P0536,4498.48,2028-02-02,0.2185,32,1,1
P0537,2827.98,2026-06-08,0.4748,68,1,1
P0538,3105.36,2027-12-05,0.1662,95,1,1
P0539,2256.7,2027-07-01,0.2367,0,1,0
P0540,4270.32,2027-01-01,0.0572,0,0,0
P0541,647.82,2027-06-07,0.441,126,1,1
P0542,7350.24,2027-08-21,0.4747,20,1,0
P0543,5178.65,2028-05-01,0.0732,61,0,1
P0544,3494.76,2027-05-17,0.0965,105,0,1
P0545,1793.4,2027-07-01,0.0068,61,0,1
P0546,2626.08,2026-12-09,0.054,38,0,1
P0547,2413.24,2027-06-05,0.0206,4,0,0
P0548,517.48,2026-12-01,0.0062,0,0,0
P0549,7154.31,2028-09-26,0.4502,209,1,1
P0550,4091.09,2027-06-05,0.2413,35,1,1
P0551,1086.89,2026-05-25,0.2433,85,1,1
P0552,4214.04,2026-08-14,0.2473,135,1,1
P0553,1523.68,2027-10-21,0.0131,50,0,1
P0554,3969.4,2026-07-15,0.0502,105,0,1
P0555,1372.81,2027-10-31,0.0733,30,0,0
P0556,2949.47,2026-09-20,0.2694,142,1,1
P0557,2709.25,2028-07-08,0.1532,281,1,1
P0558,5602.25,2027-09-23,0.1366,53,1,1
P0559,2799.57,2026-08-01,0.2138,122,1,1
P0560,3202.82,2027-06-11,0.1248,10,1,0
P0561,3383.48,2027-01-09,0.5392,161,1,1
P0562,3187.05,2026-07-03,0.0662,2,0,0
P0563,2972.5,2026-07-08,0.5083,157,1,1
P0564,4414.92,2026-10-14,-0.0097,43,0,1
P0565,2772.04,2027-04-25,0.1293,55,1,1
P0566,5381.86,2027-12-17,0.1501,16,1,0
P0567,4890.28,2027-03-18,0.0565,107,0,1
P0568,1077.02,2027-02-01,0.0,0,0,0
P0569,5208.01,2026-11-29,0.055,151,0,1
P0570,3248.63,2027-11-22,0.3707,174,1,1
P0571,2789.91,2026-07-21,0.1946,20,1,0
P0572,5881.16,2027-02-15,0.1881,106,1,1
P0573,523.44,2027-04-14,0.0309,13,0,0
P0574,3154.78,2027-04-16,0.0193,46,0,1
P0575,4834.08,2026-12-10,0.0844,70,0,1
P0576,462.18,2026-09-01,0.0867,62,0,1
P0577,5778.15,2026-10-20,0.3662,233,1,1
P0578,860.89,2026-08-12,0.0957,11,0,0
P0579,5045.65,2025-10-07,0.0722,67,0,1
P0580,494.89,2026-01-21,0.3833,20,1,0
P0581,1896.77,2027-02-28,0.1803,89,1,1
P0582,4833.73,2026-11-26,-0.0003,86,0,1
P0583,895.74,2027-05-23,0.1359,52,1,1
P0584,3284.86,2027-06-11,0.0137,41,0,1
P0585,1923.58,2027-05-13,0.2136,42,1,1
P0586,2456.1,2028-02-28,0.128,89,1,1
P0587,2087.03,2027-07-01,0.0048,0,0,0
P0588,462.11,2027-03-01,0.0484,0,0,0
P0589,2883.44,2028-01-03,0.0821,63,0,1
P0590,2902.79,2027-03-24,0.2398,113,1,1
P0591,544.63,2026-10-14,0.0485,13,0,0
P0592,5394.67,2026-08-26,0.3138,25,1,0
P0593,4335.79,2027-03-23,0.0705,22,0,0
P0594,5074.5,2027-03-11,0.0892,191,0,1
P0595,2183.54,2027-01-01,0.0616,0,0,0
P0596,4437.01,2026-09-19,0.0062,18,0,0
P0597,664.38,2027-10-31,0.072,30,0,0
P0598,801.42,2026-11-20,0.0688,19,0,0
P0599,578.88,2027-12-18,0.0568,17,0,0
P0600,1976.68,2026-10-20,0.1307,19,1,0
